age,study_hours_per_day,sleep_hours,phone_usage_hours,social_media_hours,attendance_percentage,stress_level,assignments_completed,productivity_score
18,2.9,6.4,5.9,4.1,70.4,4,5,28.4
19,1.6,8.0,2.9,2.5,84.9,2,3,36.1
24,4.2,8.1,3.4,3.0,59.0,5,4,41.5
20,3.8,5.2,1.8,1.8,60.7,8,9,43.4
24,2.0,6.7,2.3,1.7,70.8,3,17,49.8
24,4.3,3.3,6.4,4.3,100.0,8,20,39.0
24,2.8,5.4,4.5,3.3,66.3,4,12,41.4
22,2.7,4.6,3.1,2.2,78.3,10,11,41.2
21,4.4,7.2,5.7,3.7,59.0,1,25,67.1
18,4.4,5.5,2.1,0.9,85.5,2,4,54.8
23,4.0,5.2,3.2,2.0,100.0,3,23,64.8
22,4.8,4.1,7.6,5.8,83.7,7,17,33.3
22,4.0,9.2,3.4,1.4,58.2,3,15,45.9
19,5.7,6.0,2.7,1.5,85.9,1,15,65.4
19,6.1,7.7,3.8,1.9,62.4,2,6,59.9
22,2.1,3.8,3.1,2.5,62.3,7,27,37.1
20,4.2,4.2,3.7,1.5,84.3,5,11,39.5
22,4.8,7.4,3.8,3.4,64.6,1,23,72.5
23,4.7,5.4,3.2,1.8,89.2,6,14,58.4
24,6.3,8.2,1.7,1.0,65.7,10,8,58.0
22,4.8,5.2,5.1,3.8,77.9,5,17,51.6
22,3.7,8.5,4.9,3.0,93.0,2,5,53.1
20,4.1,5.3,3.6,2.7,75.2,4,13,52.0
23,4.8,6.2,3.7,2.6,84.9,2,25,67.9
19,2.8,7.5,4.3,2.9,100.0,5,9,47.0
22,4.3,6.4,5.5,3.7,59.4,2,20,52.2
24,5.3,6.6,5.0,3.8,85.7,10,24,57.4
21,5.3,7.7,1.9,1.8,69.6,5,26,73.3
20,5.3,7.7,2.0,1.9,68.1,2,5,59.3
19,4.7,3.2,3.5,2.4,52.5,1,22,49.1
18,3.0,5.2,4.3,2.4,55.7,8,18,46.5
24,5.3,7.1,4.0,2.9,95.3,1,24,74.8
18,5.9,4.5,5.3,3.5,77.1,6,12,40.4
18,5.1,5.0,2.2,1.8,71.0,10,24,53.5
23,4.0,7.8,2.4,1.7,57.8,10,16,47.3
22,3.0,5.2,2.5,1.7,77.1,4,23,58.7
19,4.8,7.2,6.4,4.4,66.7,9,23,53.9
21,3.6,5.1,5.0,3.1,100.0,4,19,52.8
18,4.4,4.7,3.8,2.2,76.1,1,11,53.4
24,2.3,6.2,6.4,4.2,80.8,6,7,34.9
21,8.1,7.8,3.3,2.3,63.4,9,27,69.5
20,1.2,5.1,3.8,3.6,71.3,3,3,33.4
21,3.9,6.1,3.8,2.2,87.9,9,28,60.7
23,4.1,5.1,3.7,2.6,87.8,7,21,57.1
21,4.9,8.6,5.8,4.2,74.2,8,18,45.5
21,3.2,6.6,5.1,3.0,67.1,6,13,43.4
19,6.5,6.2,6.5,4.3,80.9,4,25,64.0
21,5.7,5.0,4.8,3.6,78.6,5,20,60.2
21,2.6,7.6,5.3,3.6,100.0,3,6,37.4
18,4.9,5.1,4.9,3.5,100.0,6,23,68.0
18,5.0,5.8,4.7,3.9,85.3,4,20,63.7
21,4.4,6.2,4.1,1.8,46.7,9,4,38.6
22,2.4,7.3,1.9,1.4,100.0,3,7,58.2
18,3.2,7.5,5.8,4.3,72.4,3,9,50.7
22,1.2,4.9,4.7,3.6,87.3,4,8,37.2
19,4.3,6.8,2.7,1.2,85.9,2,3,47.2
19,3.7,5.4,1.9,1.4,46.9,1,26,66.2
21,2.5,6.5,2.3,1.0,82.0,2,23,61.1
24,3.0,6.6,5.4,4.4,53.1,2,10,44.5
20,3.1,4.8,4.2,2.2,93.8,8,19,47.3
18,3.1,5.0,1.6,1.0,61.4,7,18,53.5
24,3.8,6.4,3.8,2.4,59.8,1,13,49.7
23,2.8,5.7,5.5,3.6,54.2,2,7,33.6
20,3.3,6.2,5.9,4.4,58.0,2,24,44.9
19,5.9,5.7,4.3,2.9,87.9,8,14,61.1
20,5.1,6.6,5.4,3.4,67.8,3,18,57.1
18,4.7,6.4,3.4,2.6,57.4,10,25,48.9
21,7.0,5.9,3.4,2.5,100.0,8,26,74.8
22,6.3,4.8,5.1,4.2,88.4,7,5,47.1
18,3.7,7.1,7.4,5.3,82.0,2,13,46.1
21,1.5,9.0,6.0,4.2,100.0,10,29,41.1
20,2.6,9.6,4.1,3.6,86.7,6,9,32.5
19,7.0,5.5,5.5,3.5,69.2,7,16,66.5
23,6.4,7.2,4.0,2.9,79.4,4,3,60.2
23,6.1,7.0,2.8,1.3,62.4,2,29,78.4
24,4.8,6.8,4.1,3.1,88.2,7,4,50.9
18,7.2,6.0,7.8,5.0,70.4,1,27,68.9
21,7.4,5.0,6.3,4.2,87.8,7,26,61.3
23,5.1,7.6,4.7,3.0,100.0,1,18,66.3
21,4.3,5.0,5.1,3.9,58.1,3,27,56.8
21,1.8,6.1,1.7,1.3,65.6,6,17,46.1
20,5.2,6.6,2.5,1.8,65.2,3,20,68.8
20,3.0,8.3,4.6,2.7,94.7,1,12,54.8
19,3.8,7.2,3.6,2.9,77.1,10,15,50.7
20,2.3,9.5,8.0,5.6,70.8,6,22,33.9
20,4.3,7.5,4.8,3.4,76.4,5,3,43.2
22,5.1,8.4,4.2,1.9,100.0,5,11,51.0
21,0.9,4.5,2.0,1.7,65.4,8,6,24.7
24,4.9,6.4,1.7,1.3,91.1,3,22,75.2
23,1.9,5.2,3.6,2.7,88.2,5,14,46.5
20,2.2,7.2,7.5,5.8,44.0,5,13,33.0
18,1.8,4.6,7.5,5.3,78.5,4,3,20.3
23,5.3,7.9,5.3,4.2,72.1,7,8,53.3
20,4.4,7.4,3.4,2.2,57.4,4,12,54.3
22,3.4,6.2,3.2,1.7,94.4,1,8,62.0
23,1.5,4.6,2.7,2.2,54.0,10,5,22.0
21,1.2,8.7,3.5,2.2,87.0,1,6,44.8
23,5.3,4.9,1.9,1.1,85.6,8,6,48.5
24,3.2,4.7,2.8,2.1,67.5,4,23,60.4
24,3.8,5.4,5.6,4.5,77.3,10,28,58.8
24,4.2,7.1,4.0,2.5,72.1,3,13,62.6
19,7.2,7.0,6.0,4.0,79.2,5,29,75.4
22,1.0,5.9,4.5,3.2,66.6,4,28,46.1
18,0.5,9.0,4.6,3.0,71.3,6,15,29.2
23,7.4,6.3,4.5,3.8,100.0,10,10,65.9
20,7.0,5.4,4.3,3.7,86.5,2,7,63.1
23,4.3,9.0,6.4,4.1,69.5,2,18,46.8
20,6.4,8.7,5.1,3.4,55.5,2,8,54.8
24,0.5,4.7,4.0,2.8,79.1,4,12,31.3
18,4.0,5.7,4.5,3.6,63.6,8,7,41.3
20,3.9,5.6,4.3,2.8,58.5,6,27,56.9
20,2.5,6.6,4.6,3.3,52.9,5,9,39.2
24,2.7,5.1,0.5,0.2,87.2,7,3,50.7
24,4.8,8.7,6.9,4.2,87.8,3,20,51.1
19,3.7,5.2,4.6,2.1,75.5,10,28,46.1
24,4.2,4.5,3.6,2.8,68.1,5,7,39.4
21,3.1,5.9,4.6,3.0,82.2,2,4,50.8
19,3.0,6.6,3.1,2.2,62.2,7,29,46.1
23,7.2,8.2,3.7,2.2,78.9,1,19,79.3
18,2.1,9.5,5.8,4.3,71.4,9,17,24.0
21,4.7,8.6,0.7,0.6,49.3,8,25,56.5
22,4.0,9.5,4.8,2.5,94.1,9,3,35.5
24,6.4,6.7,2.6,1.5,43.0,4,8,56.6
23,3.2,4.6,5.1,4.2,68.8,6,18,50.7
24,3.5,9.4,4.7,2.3,75.0,8,28,46.2
23,5.2,7.3,2.9,1.5,70.3,10,3,45.1
21,5.0,8.8,6.2,4.1,61.0,5,3,32.5
19,4.5,6.0,3.9,3.3,60.3,1,9,47.8
23,4.9,5.7,6.5,5.5,62.4,10,23,54.2
24,5.3,8.8,3.7,2.5,78.3,5,25,65.5
22,6.5,7.8,5.4,3.9,67.4,3,10,57.9
24,3.3,9.0,4.3,3.1,83.4,3,16,53.2
22,3.0,7.5,4.0,2.6,66.2,5,5,44.5
21,4.8,6.9,3.6,2.4,100.0,8,22,61.6
20,5.7,9.3,4.9,3.1,48.6,6,10,42.6
20,2.0,5.9,3.1,2.4,60.9,9,7,32.6
18,4.1,6.6,5.6,3.6,50.9,1,16,44.7
22,1.5,7.7,4.7,3.2,65.2,2,14,40.2
18,3.4,7.1,5.0,4.3,80.1,7,29,55.1
18,6.9,7.1,4.5,3.8,95.1,8,8,68.3
21,2.4,8.9,3.2,2.7,76.0,1,9,45.6
18,2.7,7.4,6.0,3.9,78.8,3,3,32.8
24,2.9,7.5,5.9,4.2,75.5,3,23,50.7
24,4.3,6.1,4.7,3.4,78.6,10,10,38.5
21,4.4,7.3,1.9,1.6,75.5,7,9,59.5
21,2.2,5.8,4.5,3.1,39.3,1,6,39.8
18,5.3,6.2,1.3,0.5,37.6,8,24,56.6
24,4.5,7.4,4.9,3.3,70.9,2,10,55.3
23,0.5,6.9,2.3,1.3,83.1,3,5,41.3
22,4.7,5.3,5.5,3.3,39.1,5,16,51.2
21,2.2,8.3,4.3,2.5,65.5,10,19,37.7
20,4.1,6.0,4.0,2.9,85.7,4,9,51.5
22,5.7,9.7,5.5,4.7,55.2,1,12,49.5
22,4.8,7.2,4.0,3.1,72.2,9,15,58.3
22,4.6,7.3,3.0,1.7,64.4,4,9,48.3
19,3.0,3.8,2.9,1.3,65.7,10,28,45.1
19,4.0,5.3,2.2,1.5,90.9,6,23,57.7
24,6.1,7.3,6.7,4.3,74.5,2,15,57.9
19,5.3,7.0,4.5,3.6,72.2,6,11,47.3
23,3.0,8.3,1.6,1.1,59.4,1,16,55.7
18,4.0,5.9,1.7,1.4,70.5,9,24,59.7
18,4.9,6.5,1.7,1.2,60.8,2,25,75.2
21,3.4,4.1,4.8,3.1,82.1,6,22,38.8
19,4.2,5.8,8.0,5.7,90.7,7,9,39.7
21,2.0,6.4,8.0,5.5,97.9,8,23,35.8
21,6.0,7.0,5.6,3.8,86.8,2,26,69.8
19,6.0,5.0,0.5,0.2,53.5,5,26,72.7
22,3.9,8.4,2.4,1.5,67.8,8,19,46.6
24,5.3,3.0,3.1,1.6,71.3,5,14,37.4
21,0.8,8.2,3.6,1.7,72.6,3,17,46.6
22,4.0,3.9,3.8,2.4,84.6,10,11,35.5
22,6.0,8.3,3.1,2.6,80.0,5,16,68.9
19,4.4,4.4,2.1,1.4,83.6,5,7,34.6
19,3.5,7.3,1.5,1.1,95.0,1,16,65.4
21,3.3,4.4,4.0,3.1,66.8,1,26,58.4
20,3.4,4.5,2.4,1.4,91.6,6,20,39.1
20,4.2,7.8,7.1,4.5,63.4,5,13,48.8
24,5.5,8.4,3.3,2.5,50.8,1,11,49.5
24,5.8,7.0,0.7,0.7,33.4,3,6,68.6
24,5.3,6.8,4.0,3.6,77.4,4,10,68.9
24,2.9,6.4,5.9,4.3,73.8,9,4,30.4
24,5.0,7.6,3.4,1.9,70.8,1,26,68.5
18,4.0,7.0,5.6,4.4,76.5,3,25,55.1
24,5.7,8.9,4.9,3.3,84.6,2,4,41.3
24,3.9,7.3,6.0,4.3,70.9,5,18,59.0
21,0.5,6.8,4.9,3.5,74.8,4,18,38.7
24,4.4,7.8,2.6,2.3,83.1,7,9,52.4
22,3.0,7.3,5.0,3.2,63.3,3,20,53.6
19,3.7,5.6,3.3,1.8,67.4,7,21,56.6
18,0.7,5.3,3.3,2.3,91.1,7,29,48.5
20,5.1,6.8,5.0,4.4,65.1,10,12,43.1
19,2.3,7.9,4.8,3.8,58.5,8,21,49.3
23,1.0,5.1,1.9,1.0,67.0,9,27,49.8
23,4.4,7.1,4.7,3.3,46.2,4,25,57.0
18,6.3,8.5,2.9,2.6,82.4,10,16,60.1
24,4.8,7.2,4.4,2.5,92.5,4,27,72.3
19,4.5,7.3,2.9,1.7,81.4,1,8,55.6
19,3.7,5.1,6.1,4.4,64.2,3,14,38.9
19,7.0,6.8,2.7,2.1,73.8,6,13,65.0
21,5.7,7.2,2.7,1.6,63.0,3,12,68.4
21,7.0,5.3,4.3,2.3,45.3,6,25,67.6
23,2.8,6.9,4.0,3.3,79.3,2,23,58.6
24,4.6,9.1,5.6,3.9,80.0,10,19,44.6
21,5.2,4.8,4.2,2.7,67.1,9,15,41.7
22,5.4,4.6,4.4,3.0,76.8,2,25,60.6
18,3.5,5.9,5.0,3.7,71.8,7,10,36.9
20,2.8,6.1,4.3,3.1,86.0,8,3,35.6
18,3.3,9.6,3.7,2.4,100.0,7,5,37.4
24,5.3,4.6,5.2,3.3,69.9,9,23,59.1
19,5.1,8.1,4.1,2.9,87.3,10,29,66.0
20,4.0,9.3,4.6,3.0,76.5,10,12,38.8
20,5.3,6.4,4.5,2.8,92.6,7,19,63.2
20,4.6,8.1,1.3,0.8,59.2,7,27,66.1
20,3.3,6.7,3.2,2.1,85.9,10,19,48.1
21,4.2,7.4,3.6,2.5,58.1,4,13,52.0
22,0.5,7.1,7.1,5.0,63.9,4,14,31.8
19,3.5,3.3,5.4,3.2,61.7,2,15,30.2
18,5.0,6.8,3.0,1.6,66.6,3,17,62.8
22,3.2,6.4,3.1,1.5,57.1,3,22,55.1
24,6.2,7.1,3.1,1.9,90.6,10,6,56.0
22,6.1,5.5,1.1,0.8,81.7,4,27,77.1
18,4.3,6.4,3.9,2.7,73.8,5,14,53.5
21,2.5,5.9,1.9,0.7,77.3,5,16,57.4
23,3.2,5.7,5.9,4.0,82.0,8,16,45.0
19,1.7,7.4,4.8,3.0,69.1,2,15,39.2
21,4.5,7.9,5.1,3.6,61.8,7,8,46.4
21,4.8,5.4,6.1,4.1,84.7,7,9,48.9
23,0.5,6.4,6.0,5.1,66.3,7,19,35.2
18,3.0,5.8,3.3,3.3,75.5,7,24,53.7
23,4.5,7.4,4.0,2.3,41.7,10,21,56.5
23,5.2,8.0,2.0,0.9,100.0,2,15,72.0
23,4.8,5.6,6.1,4.5,75.1,5,7,42.5
18,5.2,4.8,5.0,4.3,54.8,8,10,39.2
20,2.3,8.1,3.2,2.4,84.0,10,23,48.7
21,3.1,4.7,5.1,3.5,83.7,7,5,33.8
20,4.4,4.0,3.9,3.4,69.9,7,14,38.4
24,5.9,6.2,1.6,1.6,81.9,9,17,61.9
24,4.4,7.4,0.5,0.3,100.0,1,6,70.1
22,4.4,5.3,3.2,2.4,52.2,8,9,43.0
24,2.9,7.8,5.0,3.5,70.6,1,10,54.6
21,4.0,5.7,4.4,2.1,56.2,4,26,53.6
19,3.0,10.0,1.9,1.1,50.6,6,6,28.1
21,2.5,6.8,3.7,2.2,100.0,6,3,36.4
20,3.5,9.2,3.3,2.8,72.1,10,17,39.0
24,2.3,5.2,4.0,2.5,68.0,7,26,52.4
23,3.6,5.8,1.0,0.5,89.2,9,22,59.7
22,3.6,6.4,3.4,3.0,88.0,7,6,45.7
22,6.1,6.8,2.5,1.6,80.8,10,26,76.8
21,4.8,5.6,3.7,2.3,43.4,7,13,42.2
20,2.0,5.8,6.3,3.7,88.0,5,7,27.2
20,7.1,5.2,2.5,2.0,71.9,10,13,57.5
22,3.5,8.9,4.8,3.9,48.9,3,16,45.0
22,5.4,6.8,1.5,0.7,92.7,4,7,70.1
19,4.5,7.5,1.1,0.2,61.3,4,26,62.9
22,3.8,8.0,1.8,1.0,91.0,5,22,68.9
19,4.9,7.1,3.2,2.1,75.8,5,25,60.1
22,1.1,7.7,2.2,1.0,42.7,6,16,43.1
21,2.2,8.9,4.8,3.4,97.0,9,8,31.3
20,1.8,7.9,6.5,4.6,54.4,2,3,24.6
23,3.0,5.2,2.0,1.1,76.8,9,5,31.8
18,7.0,7.0,5.3,4.1,70.2,9,5,51.7
18,3.6,5.0,6.5,5.0,59.8,2,21,47.7
21,4.3,5.2,0.7,0.3,60.7,8,7,46.5
23,5.1,8.5,4.2,3.0,92.1,8,6,48.4
18,1.3,7.3,3.5,2.7,55.2,9,25,44.9
20,2.8,6.1,4.6,3.9,88.5,9,25,58.5
18,4.4,6.4,3.4,2.1,68.0,6,8,53.0
22,2.4,6.1,5.3,3.6,52.1,1,14,41.3
24,2.9,7.0,4.0,3.5,69.2,7,23,43.0
20,7.7,7.2,1.0,0.7,96.5,5,26,93.0
22,1.1,7.0,0.5,1.0,86.2,1,3,44.2
24,6.4,5.6,6.2,4.4,95.6,10,12,49.8
20,3.0,5.1,4.3,2.8,74.3,9,19,42.0
21,5.8,6.6,2.9,2.3,57.5,4,23,69.8
19,3.6,8.8,5.1,3.1,100.0,7,9,47.1
22,2.2,7.3,5.0,2.9,65.4,2,23,57.7
22,3.9,7.8,2.5,1.4,80.8,3,27,71.0
19,4.8,8.6,3.3,2.5,79.5,3,26,62.0
18,5.7,6.8,2.0,1.1,78.2,6,6,54.3
20,1.9,4.5,3.3,2.6,85.6,3,9,41.7
22,7.9,5.2,2.2,1.6,100.0,10,10,61.7
19,3.9,6.4,3.7,2.6,68.4,5,13,49.9
23,2.1,6.9,5.4,3.7,91.2,9,3,27.7
24,6.8,7.2,5.1,3.0,68.9,6,4,52.0
24,3.1,5.9,2.8,1.9,99.1,2,19,65.4
18,6.5,6.6,5.3,4.6,56.9,8,23,66.0
18,6.1,7.2,5.3,3.7,64.5,10,10,43.1
18,2.8,8.8,3.2,1.8,69.3,10,14,39.0
23,3.7,6.3,1.9,0.8,81.1,9,29,61.0
21,5.2,5.3,6.1,4.1,98.6,9,9,41.5
22,4.1,4.8,5.2,3.7,95.5,10,12,42.2
18,4.8,6.9,4.6,3.0,84.3,8,13,50.9
18,4.7,6.1,2.6,1.7,74.0,6,16,60.4
19,4.8,6.4,4.8,3.3,63.7,8,12,52.0
22,3.4,7.2,4.5,3.4,86.5,3,23,58.3
20,2.9,7.5,3.8,1.9,100.0,10,23,44.2
19,3.7,5.5,1.4,0.7,78.1,8,18,47.5
23,5.1,8.1,3.6,2.1,51.4,4,23,69.9
20,3.8,4.9,5.4,4.3,77.9,10,16,42.8
23,2.5,5.4,5.5,3.9,81.0,2,3,30.2
20,5.7,5.4,5.9,3.6,100.0,3,27,60.6
22,2.7,6.0,6.6,4.9,58.1,5,12,34.3
23,4.0,4.2,4.3,3.3,52.6,7,10,38.1
20,5.0,7.2,2.8,2.5,85.0,1,29,72.3
18,0.5,6.0,4.6,2.8,96.9,10,17,30.8
23,3.4,8.9,2.9,2.4,81.7,10,17,47.9
20,1.3,7.1,1.3,0.8,77.7,8,28,54.0
19,4.3,7.2,1.1,1.3,72.3,5,19,64.8
19,3.9,5.1,3.9,2.2,64.8,9,3,43.9
22,3.4,6.6,3.0,1.8,100.0,9,23,55.6
23,4.3,5.7,5.8,3.6,92.7,3,22,66.4
24,4.7,5.6,4.6,3.7,69.5,5,16,55.2
23,4.0,6.7,5.0,3.8,71.0,3,28,65.6
18,4.3,5.8,3.1,1.7,65.5,1,27,63.4
18,5.2,5.0,5.3,3.5,92.3,3,17,62.6
21,3.6,5.5,3.5,2.8,71.1,3,17,45.6
24,3.7,7.2,3.2,2.0,95.2,1,7,67.8
20,1.2,7.5,3.3,2.3,76.3,4,4,40.1
19,4.6,6.8,2.5,1.5,88.4,7,24,64.8
24,3.5,3.7,2.7,1.6,74.3,8,23,42.7
21,3.8,8.4,3.3,3.0,41.3,6,14,50.9
23,7.9,6.0,5.2,3.4,75.5,8,25,75.7
20,4.2,6.3,2.9,1.9,73.8,6,6,49.6
24,4.5,7.2,4.2,2.1,32.2,3,3,41.5
21,5.6,10.0,0.5,0.2,99.1,4,15,61.9
18,3.6,5.1,5.0,3.1,86.2,7,20,47.7
19,6.2,5.8,1.0,0.8,96.5,4,17,74.1
23,5.9,7.6,5.9,3.8,87.7,2,29,79.9
22,3.8,6.4,5.7,3.5,95.4,1,29,75.1
22,1.2,6.2,3.9,2.3,52.9,5,11,42.3
22,6.0,5.9,3.4,1.5,89.6,2,4,54.3
22,8.5,5.7,3.4,1.4,65.4,2,25,79.4
18,6.3,6.1,2.6,1.9,68.0,8,7,58.1
21,5.9,9.6,5.1,3.3,70.1,2,11,53.9
24,3.7,6.7,7.8,5.8,46.0,9,17,32.6
18,2.1,6.6,2.6,1.1,48.1,2,9,37.8
23,5.8,5.4,3.9,2.6,100.0,10,26,64.1
22,4.9,4.3,2.9,1.8,60.9,6,14,49.3
19,4.0,9.7,2.5,1.6,64.5,5,3,35.6
22,4.5,5.7,3.3,2.8,82.1,2,10,61.2
18,3.9,7.5,7.0,4.8,74.1,10,8,36.9
19,7.2,6.7,6.9,5.3,74.4,9,3,45.1
24,5.0,7.0,5.4,3.8,100.0,10,25,68.4
18,3.5,7.2,5.3,4.2,54.5,6,9,46.6
18,3.9,5.8,5.5,4.0,45.6,5,26,53.9
23,3.7,6.2,5.2,3.6,99.8,1,9,50.4
23,3.0,5.0,5.0,3.4,84.9,5,11,40.7
18,5.5,5.3,4.5,3.0,100.0,3,22,77.6
22,6.1,6.7,2.5,1.9,85.0,3,21,70.0
22,7.3,6.4,3.2,2.5,65.6,6,7,59.2
20,2.9,6.9,4.4,2.8,83.6,4,4,40.0
18,0.8,7.8,4.1,2.7,76.9,3,6,35.1
23,3.0,7.2,4.5,3.7,87.3,6,11,51.7
21,1.4,8.8,3.5,2.2,75.9,3,21,47.0
18,5.1,6.0,3.4,2.9,67.9,10,23,62.8
20,9.0,8.9,7.6,5.6,100.0,7,10,58.5
18,3.0,7.4,5.4,4.2,75.3,6,17,50.4
21,3.3,9.8,0.9,0.2,75.3,3,14,48.0
21,4.6,5.6,3.9,2.5,76.4,8,5,39.8
20,2.3,7.4,3.9,2.7,44.6,8,27,55.0
23,3.1,5.4,2.4,1.3,79.6,1,17,47.4
22,2.3,7.7,2.4,1.2,70.7,9,23,50.5
24,3.5,4.8,4.1,3.3,78.5,4,12,47.2
18,1.4,7.9,3.7,2.4,61.0,9,17,50.0
23,1.3,6.9,4.8,2.8,47.4,4,27,46.6
21,1.2,7.0,2.8,1.3,81.5,2,19,53.2
23,4.8,6.7,4.8,3.3,94.2,2,23,60.1
24,5.5,7.7,4.5,2.7,89.6,10,10,52.6
21,5.6,6.4,3.2,2.4,100.0,10,21,62.8
20,1.7,6.4,7.3,5.8,53.0,2,6,35.9
19,1.5,6.0,2.7,1.6,55.9,3,7,40.3
19,6.8,8.6,1.9,1.0,79.7,9,11,54.8
18,1.2,6.8,6.2,4.7,92.6,6,4,29.9
18,4.4,7.0,3.1,1.6,81.1,4,20,62.6
24,1.6,6.1,3.7,2.4,81.6,6,6,32.6
20,3.2,3.6,3.0,2.6,91.5,1,12,50.9
20,5.2,7.0,4.4,3.3,68.2,5,26,60.7
24,5.5,5.5,1.4,1.6,63.7,1,26,83.0
23,7.6,8.4,5.5,4.5,55.2,7,11,58.1
21,5.6,6.7,4.0,3.2,70.7,4,19,64.3
24,5.7,8.1,1.9,1.2,60.8,3,18,66.9
24,6.1,8.1,4.6,3.6,84.0,9,28,69.6
20,5.0,7.8,3.6,3.3,91.6,6,6,53.2
18,4.0,6.3,4.1,3.3,68.2,5,19,52.7
24,5.7,7.5,3.2,1.8,65.2,7,3,52.6
20,6.3,6.7,3.7,2.5,81.5,4,12,63.3
23,4.0,5.3,0.5,0.2,82.1,2,20,66.1
18,3.6,4.2,2.9,1.8,100.0,5,8,41.8
22,5.1,7.1,3.7,2.5,88.5,2,8,56.6
19,6.2,8.3,3.7,2.2,100.0,8,11,68.8
24,3.7,7.3,3.7,2.5,65.0,6,23,55.7
18,4.7,7.7,6.4,4.8,80.6,6,28,62.8
23,1.0,9.4,1.5,1.8,59.7,7,25,38.8
18,3.0,7.6,4.1,2.5,94.5,8,18,50.1
24,6.2,8.0,5.5,4.0,78.6,8,21,56.3
23,3.1,6.2,1.0,0.4,85.4,6,26,68.5
22,3.1,3.3,4.3,3.6,80.9,7,21,34.3
22,5.2,4.6,3.1,1.8,94.5,6,13,52.1
